0;1;2
0;10;4.0
0;5;4.0
1;9;3.0
1;5;4.0
2;28;4.0
3;15;5.0
3;19;5.0
4;34;5.0
4;16;5.0
5;37;4.0
6;5;3.0
6;9;4.0
7;34;3.0
7;8;4.0
8;24;4.0
9;1;4.0
9;5;3.0
10;18;4.0
11;35;4.0
12;34;4.0
12;39;4.0
13;2;4.0
13;29;4.0
14;27;4.0
15;28;4.0
15;16;3.0
16;16;4.0
17;8;3.0
18;34;3.0
18;12;3.0
19;39;5.0
20;6;2.0
20;2;4.0
21;9;5.0
21;16;4.0
22;34;4.0
23;29;5.0
23;23;4.0
24;33;3.0
25;4;4.0
26;10;5.0
27;16;4.0
27;4;4.0
28;5;4.0
29;30;4.0
29;35;4.0
30;20;5.0
30;35;3.0
31;32;4.0
31;3;4.0
32;8;4.0
32;10;4.0
33;22;3.0
34;22;4.0
35;30;4.0
35;31;4.0
36;36;3.0
36;16;4.0
37;13;4.0
37;6;4.0
38;18;4.0
39;10;4.0
39;4;4.0
40;22;3.0
41;32;4.0
42;35;5.0
42;7;3.0
43;30;5.0
43;4;3.0
44;22;4.0
44;39;4.0
45;32;4.0
45;9;5.0
46;17;4.0
46;39;4.0
47;24;3.0
48;24;4.0
49;39;5.0
50;2;4.0
51;4;4.0
52;15;4.0
52;30;4.0
53;0;4.0
53;2;4.0
54;16;4.0
54;12;3.0
55;24;3.0
56;8;4.0
57;14;4.0
58;17;4.0
59;7;3.0
60;1;4.0
60;39;3.0
61;9;3.0
61;17;4.0
62;31;5.0
63;39;4.0
63;12;4.0
64;30;4.0
64;35;4.0
65;13;4.0
66;12;4.0
67;22;4.0
68;36;4.0
69;24;5.0
70;5;4.0
70;31;4.0
71;24;4.0
72;37;4.0
73;6;5.0
73;2;4.0
74;1;4.0
74;17;4.0
75;12;5.0
76;10;5.0
77;2;4.0
78;23;4.0
78;18;5.0
79;23;4.0
79;24;4.0
80;14;3.0
81;8;4.0
81;30;4.0
82;10;3.0
83;35;3.0
83;30;4.0
84;22;4.0
84;29;4.0
85;2;4.0
86;18;3.0
87;35;4.0
88;19;3.0
89;20;3.0
89;33;3.0
90;25;3.0
91;4;3.0
92;13;4.0
93;7;3.0
93;24;4.0
94;21;4.0
95;22;4.0
95;28;3.0
96;19;4.0
97;34;4.0
98;25;3.0
98;8;4.0
99;0;4.0
100;4;4.0
101;30;5.0
102;23;4.0
102;31;4.0
103;30;3.0
104;36;3.0
104;22;4.0
105;12;4.0
105;20;3.0
106;16;4.0
107;30;4.0
108;17;4.0
108;12;3.0
109;35;5.0
110;20;4.0
111;25;3.0
111;16;4.0
112;7;5.0
113;15;4.0
114;31;3.0
115;33;4.0
115;20;5.0
116;1;4.0
116;7;5.0
117;30;4.0
118;12;4.0
119;34;4.0
119;28;4.0
120;10;3.0
120;8;4.0
121;24;5.0
121;23;5.0
122;13;4.0
123;22;4.0
124;15;5.0
124;2;4.0
125;29;4.0
125;22;4.0
126;36;3.0
126;39;4.0
127;13;4.0
128;15;4.0
129;31;4.0
130;30;5.0
131;13;4.0
132;32;4.0
133;37;4.0
133;24;4.0
134;16;3.0
135;37;5.0
135;5;4.0
136;28;3.0
137;7;4.0
138;34;5.0
139;24;4.0
139;1;4.0
140;12;3.0
140;18;3.0
141;25;4.0
141;8;4.0
142;14;4.0
142;21;3.0
143;19;3.0
143;13;4.0
144;37;4.0
145;4;4.0
145;31;5.0
146;12;4.0
146;1;4.0
147;12;5.0
147;27;3.0
148;39;4.0
148;34;4.0
149;34;4.0
150;31;3.0
150;7;4.0
151;29;4.0
151;21;3.0
152;7;3.0
152;14;5.0
153;24;4.0
153;39;4.0
154;10;4.0
154;30;4.0
155;32;4.0
156;28;4.0
157;4;5.0
157;30;4.0
158;12;3.0
158;17;4.0
159;4;4.0
160;14;3.0
161;6;5.0
162;31;4.0
162;14;4.0
163;7;4.0
164;18;4.0
164;12;4.0
165;6;4.0
165;33;4.0
166;10;4.0
167;5;4.0
168;19;4.0
169;31;4.0
170;20;4.0
170;19;4.0
171;2;3.0
171;15;5.0
172;24;4.0
172;12;4.0
173;7;4.0
174;9;3.0
174;24;5.0
175;0;4.0
176;23;3.0
176;34;4.0
177;23;4.0
177;6;4.0
178;20;4.0
179;18;4.0
179;27;4.0
180;31;4.0
180;20;4.0
181;20;4.0
182;10;3.0
182;5;4.0
183;0;4.0
184;34;3.0
184;16;4.0
185;19;4.0
185;10;4.0
186;22;4.0
186;14;5.0
187;25;4.0
187;16;4.0
188;38;5.0
189;22;4.0
189;16;4.0
190;23;4.0
191;35;3.0
192;30;4.0
193;22;4.0
194;34;4.0
195;12;4.0
196;1;3.0
197;7;4.0
197;27;5.0
198;34;5.0
198;27;3.0
199;7;5.0
199;39;4.0
