0;1;2
0;17;4.0
0;33;4.0
1;2;5.0
1;43;3.0
2;44;4.0
4;17;4.0
5;6;4.0
5;3;4.0
6;25;5.0
8;0;4.0
9;40;4.0
10;34;3.0
11;34;4.0
11;10;4.0
12;46;3.0
12;37;3.0
13;2;4.0
15;8;4.0
15;34;3.0
16;17;5.0
16;47;4.0
17;33;4.0
17;41;5.0
18;16;4.0
20;42;4.0
21;23;4.0
22;26;3.0
22;33;4.0
23;4;4.0
23;28;4.0
25;32;3.0
26;47;4.0
27;37;3.0
28;31;4.0
30;45;4.0
30;3;4.0
32;45;4.0
33;1;3.0
34;13;3.0
35;41;4.0
35;21;4.0
36;34;4.0
37;23;4.0
37;47;4.0
38;47;4.0
38;25;4.0
39;21;5.0
40;37;4.0
40;4;4.0
41;37;4.0
42;32;4.0
42;36;4.0
43;15;4.0
45;21;3.0
46;44;3.0
47;12;4.0
47;34;4.0
48;37;4.0
48;13;5.0
49;12;4.0
49;30;4.0
50;37;3.0
50;20;4.0
51;0;4.0
52;27;4.0
53;21;4.0
53;45;4.0
54;48;4.0
55;34;3.0
56;3;4.0
56;7;5.0
57;41;4.0
58;45;4.0
59;25;4.0
59;13;4.0
61;20;3.0
62;30;4.0
62;23;4.0
63;27;4.0
65;44;5.0
65;24;4.0
67;1;3.0
68;37;5.0
68;21;4.0
69;16;5.0
70;43;4.0
71;5;4.0
72;6;4.0
72;36;5.0
73;23;4.0
73;15;3.0
74;20;5.0
75;8;4.0
76;24;5.0
77;42;4.0
77;41;4.0
78;0;4.0
79;46;5.0
80;44;5.0
80;3;3.0
81;4;4.0
82;44;5.0
83;9;3.0
85;33;4.0
85;21;4.0
86;40;3.0
87;33;4.0
88;29;4.0
89;42;5.0
90;47;4.0
90;44;4.0
92;43;5.0
92;48;5.0
93;17;4.0
93;6;4.0
94;3;4.0
94;33;4.0
95;1;4.0
96;14;4.0
97;30;3.0
97;40;4.0
98;22;4.0
98;2;4.0
99;4;4.0
99;30;3.0
100;28;4.0
100;2;4.0
101;30;4.0
101;6;4.0
102;28;4.0
103;15;5.0
104;15;3.0
105;14;3.0
105;45;4.0
106;44;4.0
107;33;4.0
107;1;4.0
108;36;4.0
109;14;4.0
111;38;4.0
112;45;3.0
113;9;3.0
113;8;4.0
114;9;4.0
116;37;4.0
117;33;3.0
117;32;3.0
118;11;4.0
118;13;4.0
119;10;4.0
120;26;4.0
121;8;4.0
122;45;4.0
